 31.614444444  117.050833333  KIKEG ENRT ZS 5906519
 31.718333333  118.105000000  MADUK ENRT ZS 5920087
 31.655000000  118.988333333  UPLEL ENRT ZS 2105431
 31.650000000  119.040000000  OLRIS ENRT ZS 2105431
 31.645000000  119.143333333  LUPVI ENRT ZS 5906519
 31.620000000  119.673333333  ESBAG ENRT ZS 5920087
 31.589444444  120.319444444  SASAN ENRT ZS 5920087
 31.238327778  121.331433333  14VOR ZSSS ZS 4608073
 31.156544444  121.334516667  35VOR ZSSS ZS 4608073
 31.155011111  121.338208333  36VOR ZSSS ZS 4608073
 31.283316667  121.327766667  41VOR ZSSS ZS 4608073
 31.121683333  121.340916667  56VOR ZSSS ZS 4608073
 31.119800000  121.335263889  57VOR ZSSS ZS 4608073
 31.344969444  121.322741667  CD18L ZSSS ZS 4607049
 31.059675000  121.336480556  CD36L ZSSS ZS 4607049
 31.060027778  121.345919444  CD36R ZSSS ZS 4607049
 31.346380556  121.328211111  CI1LY ZSSS ZS 4607049
 31.346080556  121.324383333  CI1RY ZSSS ZS 4607049
 31.060330556  121.339980556  CI3LY ZSSS ZS 4607049
 31.061127778  121.343711111  CI3RY ZSSS ZS 4607049
 31.345036111  121.324688889  D001D ZSSS ZS 4530249
 31.330000000  121.183333333  D001G ZSSS ZS 4530249
 31.208294444  121.220469444  D099A ZSSS ZS 4530249
 31.207808333  121.228222222  D099B ZSSS ZS 4530249
 31.200188889  121.348383333  D099H ZSSS ZS 4530249
 31.192961111  121.460775000  D099N ZSSS ZS 4530249
 31.191452778  121.484025000  D099O ZSSS ZS 4530249
 31.188425000  121.530525000  D099Q ZSSS ZS 4530249
 30.941666667  121.381666667  D174K ZSSS ZS 5917001
 30.765000000  121.425000000  D174V ZSSS ZS 4530249
 31.061677778  121.346672222  D181D ZSSS ZS 4530249
 31.051666667  121.205000000  D181I ZSSS ZS 5917001
 31.119800000  121.335263889  D184F ZSSS ZS 4606281
 31.033333333  121.331666667  D184J ZSSS ZS 4595785
 31.026355556  121.325683333  D187K ZSSS ZS 4595785
 30.883333333  121.311666667  D192N ZSSS ZS 5917001
 31.024766667  121.302286111  D193K ZSSS ZS 4595785
 31.034783333  121.321677778  D196E ZSSS ZS 4595785
 31.220888889  121.279052778  D282B ZSSS ZS 4530249
 31.400000000  120.950000000  D304W ZSSS ZS 5906505
 31.181666667  121.241666667  D308F ZSSS ZS 5917001
 31.221666667  121.240000000  D325H ZSSS ZS 4530249
 31.363427778  121.286980556  D350I ZSSS ZS 4595785
 31.369430556  121.296847222  D355J ZSSS ZS 4595785
 31.301647222  121.326275000  FD18L ZSSS ZS 4604233
 31.093077778  121.335805556  FD36L ZSSS ZS 4604233
 31.091688889  121.343352778  FD36R ZSSS ZS 4604233
 31.302997222  121.330572222  FF18L ZSSS ZS 4604233
 31.301030556  121.326838889  FF18R ZSSS ZS 4604233
 31.095372222  121.338061111  FF36L ZSSS ZS 4604233
 31.092833333  121.341988889  FF36R ZSSS ZS 4604233
 30.711666667  121.283333333  JTN28 ZSSS ZS 4530249
 30.630000000  121.271666667  JTN30 ZSSS ZS 4530249
 30.550000000  121.261666667  JTN35 ZSSS ZS 4530249
 31.226663889  121.332383333  MD18L ZSSS ZS 4607305
 31.163225000  121.334383333  MD36L ZSSS ZS 4607305
 31.166675000  121.337261111  MD36R ZSSS ZS 4607305
 31.034166667  121.345277778  SS001 ZSSS ZS 4595799
 30.970555556  121.348611111  SS002 ZSSS ZS 5917015
 30.834166667  121.300555556  SS003 ZSSS ZS 5906519
 30.548333333  121.261111111  SS004 ZSSS ZS 5906519
 30.845277778  121.363333333  SS005 ZSSS ZS 5906519
 30.576666667  121.395000000  SS006 ZSSS ZS 5906519
 30.383611111  121.417500000  SS007 ZSSS ZS 5906519
 31.030000000  121.235555556  SS008 ZSSS ZS 5906519
 31.206944444  121.225555556  SS009 ZSSS ZS 5917015
 31.318055556  121.220555556  SS010 ZSSS ZS 5906519
 31.400000000  120.950277778  SS011 ZSSS ZS 5906519
 31.034166667  121.341388889  SS012 ZSSS ZS 5906519
 30.974444444  121.449722222  SS013 ZSSS ZS 5906519
 31.038333333  121.446111111  SS014 ZSSS ZS 5906519
 31.194444444  121.438055556  SS015 ZSSS ZS 5917015
 31.373055556  121.326666667  SS017 ZSSS ZS 5906519
 31.363333333  121.218055556  SS018 ZSSS ZS 5906519
 31.373055556  121.323055556  SS019 ZSSS ZS 5906519
 31.464444444  121.321944444  SS020 ZSSS ZS 5906519
 31.468611111  121.423333333  SS021 ZSSS ZS 5906519
 31.378611111  121.428055556  SS022 ZSSS ZS 5906519
 31.288888889  121.433055556  SS023 ZSSS ZS 5917015
 31.284722222  121.327777778  SS025 ZSSS ZS 4464727
 31.280555556  121.222777778  SS026 ZSSS ZS 4464727
 31.215833333  121.117222222  SS027 ZSSS ZS 4464727
 31.067777778  121.126944444  SS028 ZSSS ZS 4464727
 30.881666667  121.310277778  SS031 ZSSS ZS 4464727
 30.629444444  121.272222222  SS033 ZSSS ZS 4530263
 30.966111111  121.238888889  SS034 ZSSS ZS 5906519
 30.711111111  121.282500000  SS035 ZSSS ZS 4530263
